time	week	aud	corp	name	lect	format
11:40-13:10	четная неделя	304 ауд.	Кронверкский пр., д.49, лит.А	Основы профессиональной деятельности(Лаб)	Саржевский Иван Анатольевич	Очно - дистанционный
13:30-15:00	четная неделя	304 ауд.	Кронверкский пр., д.49, лит.А	Основы профессиональной деятельности(Лаб)	Саржевский Иван Анатольевич	Очно - дистанционный
